詞條,解釋
肺家,肺臟。
費氣,勞神費力，麻煩。
會失禮,向人道歉。
非非糝做,胡作非為。
飛里花剌,繽紛、繁多、雜亂。
揮揮,涼涼像薄荷的氣味。
火炎炎仔,形容非常炎熱。
火屎燦天,火花迸裂四射，形容很生氣的樣子。
火屎天,形容很生氣。
火煙天,指雲煙彌漫滿天
伙房,家族裡各房同住一起的聚落。
歡喜靂天,形容非常歡喜。
歡頭笑面,歡顏笑臉。
放勢仔,盡情地，毫無忌憚的。
赴車,趕往乘車。
赴餐,趕上用餐。
赴時間,趕時間。
赴毋著,趕不上，遲到。
赴毋掣,來不及。
富罅罅仔,形容很富有的樣子。
麩麩,物體質變成粉末狀。
腐腐,因腐朽而成粉末的樣子。
戶檻,戶限，門下之橫木，以為內外之分界。
鬍鬚嗎咖,謂亂七糟八糟、分辨不清。
虎,老虎的陰莖。喻吹牛的話。
虎砰天,謂老是愛吹牛的樣子。
苦丟丟仔,形容味道很苦。
苦篤篤仔,形容味道很苦。
苦甘苦甘,苦中帶甘的味道。
苦篤苦篤,形容味道有點苦。
暈痴痴仔,如醉如痴的樣子。
暈嗲嗲仔,如醉如痴的樣子。
風水,1.指地理位置的好壞。
風颸,颱風。
風吹日炙,風吹日曬。
風溜溜仔,清風吹拂的樣子。
風神碌碌,威風凜凜，意氣揚揚的樣子。
紅啾啾仔,形容盛紅的樣子。
紅花幼女,指年輕貌美的女子。
紅羅花色,形容氣色好，臉色紅潤。
紅霞紅霞,如紅霞般的顏色。
覂淨淨,倒光光。
架仔,身材清瘦的樣子。
家官,在他人之前稱丈夫的父親。
家娘,在他人之前稱丈夫的母親。
加勢,越發，比原來更嚴重。
加一下添,再等一下。
膠膠,膠稠狀。
假作,假裝。
假知,自以為瞭解。
假精,自作聰明。
假會,自以為很行。
假意仔,非真意。
𨒇軟,形容肢體癱軟。
合本,只不過。
合線,原指琴絃的音階協調，引申為有默契或事情進行得和諧、流暢、交融。
合合,恰如其數，不少也不多。
甘甘,類似甘草令人回味的味道。
敢有,真的有嗎？疑問之詞。
敢怕,或許，疑問之詞。
敢係,真的是嗎？疑問之詞。
徑背,範圍之外。
挭挭杈杈,形容妨礙多多。
挭手挭腳,礙手礙腳。
交干,交易。也寫做「交關」。
交工,交換工時。就是「換工」。
交陪,交往。
交臊,男人挑逗女性而發生不正常性關係。
膠膠,濃稠狀。
攪躁,打擾。
該斯,那可是。
該毋斯,難不成。
記才,記憶力。
記認,記號。
寄付,贈予。
寄雨,避雨。
寄岩仔,把先人的骨罈暫置一處，待將來擇地擇期建墓時再安置。
寄草牛,帶著前夫之姓隨母改嫁，寄生於新父之家的孩子。
佢兜,他們。
佢這兜,他們這些。
唊嘴,謂話多而說不停貌。
唊唊滾,話多的樣子。
浹浹,苦澀的樣子。
遽遽,快一點快一點！催促的語氣。
鹻鹻,微澀的樣子。
兼兼仔,形容很接近。
撿錢,取錢或付錢。
